2025-10-06 14:36:25,600 - src.memgpt.services.letta_client - ERROR - Letta API error sending message: headers: {'date': 'Mon, 06 Oct 2025 09:06:22 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:25,602 - src.memgpt.controller.api - ERROR - Heartbeat step 1 failed: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:22 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:25,603 - src.memgpt.controller.api - ERROR - Heartbeat loop failed for agent agent-c3969c21-ef99-4a23-9eba-0f12fc530a1d: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:22 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:25,604 - src.memgpt.controller.api - ERROR - Memory operation failed: heartbeat_error - Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:22 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:25,604 - src.memgpt.controller.api - ERROR - Letta agent error: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:22 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:26,584 - src.memgpt.services.letta_client - ERROR - Letta API error sending message: headers: {'date': 'Mon, 06 Oct 2025 09:06:25 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:26,584 - src.memgpt.controller.api - ERROR - Heartbeat step 1 failed: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:25 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:26,584 - src.memgpt.controller.api - ERROR - Heartbeat loop failed for agent agent-c3969c21-ef99-4a23-9eba-0f12fc530a1d: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:25 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:26,584 - src.memgpt.controller.api - ERROR - Memory operation failed: heartbeat_error - Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:25 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:26,584 - src.memgpt.controller.api - ERROR - Letta agent error: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:25 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:27,374 - src.memgpt.services.letta_client - ERROR - Letta API error sending message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:27,374 - src.memgpt.controller.api - ERROR - Heartbeat step 1 failed: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:27,374 - src.memgpt.controller.api - ERROR - Heartbeat loop failed for agent agent-c3969c21-ef99-4a23-9eba-0f12fc530a1d: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:27,374 - src.memgpt.controller.api - ERROR - Memory operation failed: heartbeat_error - Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:27,374 - src.memgpt.controller.api - ERROR - Letta agent error: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:28,220 - src.memgpt.services.letta_client - ERROR - Letta API error sending message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:28,220 - src.memgpt.controller.api - ERROR - Heartbeat step 1 failed: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:28,220 - src.memgpt.controller.api - ERROR - Heartbeat loop failed for agent agent-c3969c21-ef99-4a23-9eba-0f12fc530a1d: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:28,220 - src.memgpt.controller.api - ERROR - Memory operation failed: heartbeat_error - Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:28,220 - src.memgpt.controller.api - ERROR - Letta agent error: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:26 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:29,088 - src.memgpt.services.letta_client - ERROR - Letta API error sending message: headers: {'date': 'Mon, 06 Oct 2025 09:06:27 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:29,089 - src.memgpt.controller.api - ERROR - Heartbeat step 1 failed: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:27 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
2025-10-06 14:36:29,089 - src.memgpt.controller.api - ERROR - Heartbeat loop failed for agent agent-c3969c21-ef99-4a23-9eba-0f12fc530a1d: Failed to send message: headers: {'date': 'Mon, 06 Oct 2025 09:06:27 GMT', 'server': 'uvicorn', 'content-length': '46', 'content-type': 'application/json'}, status_code: 500, body: {'detail': 'An internal server error occurred'}
